,sentiment,title,review,sentiment_label,review_clean
16,5.0,"Very well made, fits more than a yeti cooler too. Read full review for more.","I'm very happy to announce that it WILL fit the Kenai 65 quart Coolers.<br />This yeti tray is only one available atm, and I didnt spend 600$ on a 65 yeti I spent 250 on a 65 Kenai instead.  Same cooler for most part made by same machines the same way just alot cheaper. Anyways<br /><br />This tray is well made very sturdy and dipped in a very thick plastics, which helps in every way possible.  It is not very deep though but will sever the purpose we needed it for.<br /><br />I'm very happy I took the chance hoping it would fit my cooler and overall I'm glad I took that plunge.<br /><br />Very well made and fits perfectly how can you complain.  A must have item, you may want to try and find a deeper one because this would be my only issue with the tray.<br /><br />If you find this review helpful, please vote, so Amazonian browsers can better learn, research and understand how products work for them.!.  Thank you and Happy Buying",0,"['happy', 'fit', 'cooler', 'one', 'available', 'spend', 'spent', 'instead', 'cooler', 'part', 'made', 'machine', 'way', 'cheaper', 'well', 'made', 'sturdy', 'thick', 'plastic', 'help', 'every', 'way', 'possible', 'deep', 'though', 'purpose', 'needed', 'happy', 'took', 'chance', 'hoping', 'fit', 'cooler', 'overall', 'glad', 'took', 'well', 'made', 'fit', 'perfectly', 'must', 'item', 'may', 'want', 'try', 'find', 'one', 'issue', 'find', 'review', 'helpful', 'please', 'better', 'understand', 'product', 'work', 'thank', 'happy', 'buying']"
17,2.0,I was very disappointed.,"I bought this sleeping bag to take camping.  It came a couple of days before my trip and didn't take it out of the bag first.  When I got to the campsite and took the bag out it had a very strong mildew odor and couldn't use it.  I tried washing it with some vinegar, detergent and fabric softener and unfortunate it still stinks.  I was very disappointed. K",1,"['bought', 'sleeping', 'bag', 'take', 'camping', 'came', 'couple', 'day', 'trip', 'take', 'bag', 'first', 'got', 'took', 'bag', 'strong', 'use', 'tried', 'washing', 'fabric', 'still', 'disappointed']"
18,5.0,Good for price,"Seems like a sturdy flat knife. I wanted one slightly bigger than my keychain multi-tool knife; one i could use in case i get lost in the woods (should i ever go there), and need to stab my way outta some situation or another --shrugs--.<br /><br />It is sharp and sturdy. I wish the blade were longer, but it seems like it would cut fish well or whatever. Pretty colors (i got the wood and dark metal one). Got a neat nub on the end to shatter windows in case i ever gotta play hero and rescue somebody.<br /><br />That's about it.",0,"['seems', 'like', 'sturdy', 'flat', 'knife', 'wanted', 'one', 'slightly', 'bigger', 'tool', 'knife', 'one', 'use', 'case', 'get', 'lost', 'wood', 'ever', 'need', 'way', 'another', 'sharp', 'sturdy', 'wish', 'blade', 'longer', 'seems', 'like', 'cut', 'fish', 'well', 'whatever', 'pretty', 'color', 'got', 'wood', 'dark', 'metal', 'one', 'got', 'end', 'window', 'case', 'ever', 'got', 'play']"
19,5.0,Five Stars,great case protects the phone,0,"['great', 'case', 'phone']"
20,5.0,Perfect,LOVE LOVE LOVE,0,"['love', 'love', 'love']"
21,1.0,Not a good buy; Save your $$$$$$!!!!!!!!!!,"they are out of business. Very disappointed for I was interested to purchase 2 months ago. When finally saved enough money to buy the gadget, the company ran out of $$$$. Obviously, this is not a good product because venture capitalist aren't giving Sportbrain their millions of dollars to invest in the company. If I buy the gadget now, it's features are obsolete. Who will I call if I will have a technical problem?<br />Now, an outside company is selling bits and pieces or whatever $$$$ they can get.....smells a bit fishy.....perhaps Sportbrain owes people some $$$$$ or filed for bankruptcy?<br />What's the news on Wall Street people?",1,"['disappointed', 'purchase', 'month', 'ago', 'finally', 'enough', 'money', 'buy', 'company', 'good', 'product', 'company', 'buy', 'feature', 'problem', 'outside', 'company', 'bit', 'piece', 'whatever', 'get', 'smell', 'bit', 'perhaps', 'people', 'wall', 'people']"
22,5.0,Would recommend,Paid $ 100 to have assembled. Amazon assemblers were off due to  Covid 19 . It is a wonderful machine.<br />My gym whas been closed so now I can work out anytime day or night. It is large and heavy. Takes up a lot  of room but I wanted a solid machine.<br />I would recommend,0,"['paid', 'assembled', 'amazon', 'due', 'wonderful', 'machine', 'gym', 'closed', 'work', 'day', 'night', 'large', 'heavy', 'take', 'lot', 'room', 'wanted', 'solid', 'machine', 'recommend']"
23,5.0,Good purchase,"Great instructions, easy setup, works great!  I wish there was mode where you could hide the time and only display the relevant mode's number (i.e. current steps or miles, etc). The presence of the clock, with seconds ticking away confuses my mother.",0,"['great', 'instruction', 'easy', 'work', 'great', 'wish', 'mode', 'time', 'display', 'mode', 'number', 'current', 'step', 'mile', 'etc', 'second', 'away']"
24,3.0,Pretty To Look At But Not Very Effective,"The whistle necklace is ok. it looks nice and I enjoy it just as a necklace. However the whistling aspect is a little lackluster. It's not incredibly loud which I would definitely prefer for an emergency whistle. If you just enjoy the design, it is a well made piece of metal that gives off sci fi vibes. Worth it as a necklace. However if you want an emergency whistle, I can't recommend it.  It isn't loud enough to be useful in an emergency situation. It did work to get my dogs' attention though.",1,"['whistle', 'look', 'nice', 'enjoy', 'however', 'little', 'loud', 'definitely', 'prefer', 'emergency', 'whistle', 'enjoy', 'design', 'well', 'made', 'piece', 'metal', 'give', 'worth', 'however', 'want', 'emergency', 'whistle', 'recommend', 'loud', 'enough', 'useful', 'emergency', 'work', 'get', 'dog', 'though']"
25,4.0,Very cute - Like USB recharge,Great small flashlight. Powerful light.  Rechargeable battery USB.  Very happy.,0,"['great', 'small', 'flashlight', 'light', 'battery', 'usb', 'happy']"
26,3.0,I Wish It Longer,"First, I would like to point out if you need additional or replacement keys, you have to go through Tigr, and they sell them as a 2-pack, and it costs $20 plus $5 shipping. You cannot just go to a hardware store or locksmith store to get a copy.<br /><br />Second, this is a rather short-reach lock. As another reviewer here stated, I wish this had a longer reach, especially if you're riding an electric bike that might have wider frames.<br /><br />The Tigr Blue Mini+ is easy to use. It feels solid, yet lightweight. It's a good concept. The lock is easy to put on and take off. A reviewer here reported the lock failed eventually. Tigr sells replacement lock cylinders for $40 plus shipping.",1,"['first', 'like', 'point', 'need', 'additional', 'replacement', 'key', 'pack', 'cost', 'plus', 'shipping', 'store', 'store', 'get', 'second', 'rather', 'short', 'reach', 'lock', 'another', 'wish', 'longer', 'reach', 'especially', 'riding', 'bike', 'might', 'frame', 'blue', 'easy', 'use', 'feel', 'solid', 'yet', 'lightweight', 'good', 'concept', 'lock', 'easy', 'put', 'take', 'lock', 'replacement', 'lock', 'plus', 'shipping']"
27,4.0,Very Smooth Reel,"I love to fish, especially when I am with my two sons who make perfect fishing buddies. One of them has taken to spinning reels, while the other prefers another type. So, with two of us in the family favoring spinning reels I was eager to try this reel to see how well it would hold up and perform for me. I have only one issue with it, relating to the spool, but in operation this is a very smooth and well-designed spinning reel.<br /><br />This is a smaller reel than what I normally use though this is not a problem for me. Instead of large bass, this reel works for me when I am after sunfish and perch. In spite of the small size, even in my big hands the bail does not scrape my knuckles as it spins. This is a plus for me as I have had this problem with smaller reels.<br /><br />I have two pet peeves with spinning reels that come up time and again. First, if the bail does not pass over the spindle far enough the line does not come off the spool very easily and it greatly reduces the casting distance, even more so than will a cheap rod with sub-par eyelets. This is not a problem with this reel and I have been able to get good casting distance with lightweight test.<br /><br />The other issue I have with reels that many fail to implement properly is a zero-reverse clutch. When engaged, there should be absolutely no play at all in the reel and there should be absolutely no reverse turning – period. A good number of reels allow a small amount of reverse in the turn which is unacceptable. This one gets it right and when the clutch is engaged there is no reverse at all.<br /><br />Many reels I have used have 9 or 10 ball bearings. This one has 12. Generally speaking, more ball bearings means smoother operation and returns. This is definitely a very smooth reel, arguably the smoothest reel I have ever used.<br /><br />There is one negative about this reel that merits mention. The spool is attractive and it has 14 diagonal openings that allow air flow and add to the appearance. These have very sharp ridges that you can feel when you run a finger across them and they are sharp enough that you can cleanly trim a fingernail on them. Normally this is not something I would really mind, except that in the event of a severe backlash you can nick or cut your line which is a more serious issue. If I can find a different spool that will fit I plan to replace it which would make this reel just about perfect.<br /><br />This is a nice, smaller reel. It gets the important things right – the bail flips properly and the zero-reverse clutch is excellent. It is very smooth too. The spool is the only issue and even then one might argue that I am being picky but it still merits mention. This reel will see more use as we get deeper into the summer.<br /><br />Disclosure: I was provided a sample of this product in exchange for a fair, honest and thorough review. Even though I received this product at minimal or no cost I have rated and reviewed this product without bias, based solely on my experience with it.",0,"['love', 'fish', 'especially', 'two', 'son', 'make', 'perfect', 'fishing', 'one', 'taken', 'reel', 'another', 'type', 'two', 'family', 'reel', 'try', 'reel', 'see', 'well', 'hold', 'one', 'issue', 'smooth', 'well', 'designed', 'reel', 'smaller', 'reel', 'normally', 'use', 'though', 'problem', 'instead', 'large', 'reel', 'work', 'small', 'size', 'even', 'big', 'hand', 'doe', 'spin', 'plus', 'problem', 'smaller', 'reel', 'two', 'reel', 'come', 'time', 'first', 'doe', 'far', 'enough', 'line', 'doe', 'come', 'easily', 'distance', 'even', 'cheap', 'rod', 'problem', 'reel', 'able', 'get', 'good', 'distance', 'lightweight', 'test', 'issue', 'reel', 'many', 'properly', 'absolutely', 'play', 'reel', 'absolutely', 'good', 'number', 'reel', 'allow', 'small', 'amount', 'turn', 'one', 'get', 'right', 'many', 'reel', 'used', 'ball', 'one', 'ball', 'mean', 'return', 'definitely', 'smooth', 'reel', 'reel', 'ever', 'used', 'one', 'reel', 'opening', 'allow', 'air', 'add', 'sharp', 'feel', 'run', 'finger', 'across', 'sharp', 'enough', 'normally', 'something', 'really', 'mind', 'except', 'cut', 'line', 'serious', 'issue', 'find', 'different', 'fit', 'plan', 'replace', 'make', 'reel', 'perfect', 'nice', 'smaller', 'reel', 'get', 'important', 'thing', 'right', 'properly', 'excellent', 'smooth', 'issue', 'even', 'one', 'might', 'still', 'reel', 'see', 'use', 'get', 'summer', 'provided', 'product', 'fair', 'honest', 'review', 'even', 'though', 'received', 'product', 'cost', 'product', 'without', 'based', 'experience']"
28,1.0,Not the best...too small for the size listed,"Produce is a great concept. Unfortunately the stockings run small. I bought 3 pair the same size. The first pair I wore were a bit too tight. The other 2 pair were way too tight. I have been wearing compression stocking for several years, so I know how they should fit. These just do not have consistent  sizing. And the top band is too narrow and rolls, cutting off circulation. I washed them after one use and gave them to a co-worker who is smaller than me.",1,"['great', 'concept', 'unfortunately', 'run', 'small', 'bought', 'pair', 'size', 'first', 'pair', 'bit', 'tight', 'pair', 'way', 'tight', 'wearing', 'several', 'year', 'know', 'fit', 'sizing', 'top', 'band', 'roll', 'washed', 'one', 'use', 'gave', 'smaller']"
29,4.0,Nice cover for the price,Not custom fit but works great.  Excellent for a every couple year replacement cover.  I put it on a 60 hp Mercury.,0,"['fit', 'work', 'great', 'excellent', 'every', 'couple', 'year', 'replacement', 'cover', 'put']"
30,5.0,Getting Great Cardio Workouts,"This bike is a very good buy for the price - currently listed at $249.22. I was surprised by how easy it was to assemble. The main section, including the wheel, frame, and seat are already assembled out of the box. The rest is simple.<br />As for the quality, I'd consider it to be excellent. The seat is very comfortable, the wheel spins quietly (it increases slightly in volume as you increase the resistance), and the pedals keep my feet securely in place while riding. I've had some great cardio workouts on this bike. You can really push yourself - and it holds up.",0,"['bike', 'good', 'buy', 'price', 'surprised', 'easy', 'assemble', 'main', 'section', 'including', 'wheel', 'frame', 'seat', 'already', 'assembled', 'box', 'rest', 'simple', 'quality', 'consider', 'excellent', 'seat', 'comfortable', 'wheel', 'spin', 'slightly', 'resistance', 'pedal', 'keep', 'foot', 'securely', 'place', 'riding', 'great', 'workout', 'bike', 'really', 'push', 'hold']"
31,4.0,Four Stars,nice,0,['nice']
32,3.0,v.good,v.good,1,['good']
33,2.0,"Very small, no insulation","These 8oz collapsible cups make me wonder what they're intended purpose is.<br /><br />They're very small, and don't actually have a lid to seal the opening at the top. They also have basically no insulation, I put my hot coffee in it to try it out and it was very quickly too uncomfortably hot to hold in my hand. I can't see this working well in a cupholder, and its size also makes me think, why not just chug it if you want to carry around so little? 8oz is a very small amount.<br /><br />For camping purposes, I think there are much better collapsible cups out there, these do compress into a very nice small size, but I just can't see myself wanting to use these.<br /><br />Pulling them out and pushing them in also isn't the nicest, they are a more rigid material and once you have them fully extended, the bottoms aren't actually flat making them kind of unstable...so you have to hold them...with no insulation. Lol<br /><br />I like the concept, but I just think there are better options out there",1,"['cup', 'make', 'intended', 'purpose', 'small', 'actually', 'lid', 'seal', 'opening', 'top', 'also', 'basically', 'put', 'hot', 'coffee', 'try', 'quickly', 'hot', 'hold', 'hand', 'see', 'working', 'well', 'size', 'also', 'make', 'think', 'want', 'carry', 'around', 'little', 'small', 'amount', 'camping', 'purpose', 'think', 'much', 'better', 'cup', 'nice', 'small', 'size', 'see', 'use', 'also', 'material', 'fully', 'bottom', 'actually', 'flat', 'making', 'kind', 'hold', 'lol', 'like', 'concept', 'think', 'better', 'option']"
34,5.0,AWESOME AFTER NUMEROUS TESTS,"THESE WERE BOUGHT FOR OUR PACK OF HOUNDS THAT ARE BALL CRAZY!<br />I have bought every brand on the market and I have to say that these balls are AWESOME!<br />I test all the balls I purchase and they are put to the test.  These have survived HOT, SEVERE COLD -4 degree temperatures and still bounced, my hounds have not destroyed one yet.<br />All the other brands my dogs destroyed, or they would not bounce after exposure.",0,"['bought', 'pack', 'ball', 'bought', 'every', 'brand', 'say', 'ball', 'awesome', 'test', 'ball', 'purchase', 'put', 'test', 'hot', 'cold', 'degree', 'still', 'one', 'yet', 'brand', 'dog']"
35,5.0,Perfect!,Perfect!,0,['perfect']
36,3.0,"The Trident...Just ""OK"".","Ahh, SOG.  I have many knives in the EDC (everyday carry) rotation.  I mostly prefer Spyderco as their designs and materials are preferred in my use.  I am not new to SOG, however.  I've owned EDCs and fixed blades that have been incredible values and exceptional users.  When I saw several SOG manufactured blades on Amazon this Holiday season for sale I thought it a prime opportunity to try out a few more examples.  Which brings me to the Trident.<br /><br />This is the black box version of the Trident.  It's not the full retail packaged item, but rather comes in a generic looking manufacturer's box from SOG.  I could care less about the retail box, so that's a non-issue.  What is an issue is the genuine disappointment upon opening and trying out the folder for the first time.  When comparing this item to other EDC blades from not only other manufacturers but SOG themselves the whole thing just comes across kind of &#34;meh&#34;.  I know this is an older design from the outfit, but it may be time to retire it. Despite it's lightweight, the knife just comes across bulky.  I could maybe give it a pass because of the 3.75&#34; blade, but the handle doesn't fit well in the hand and can be likened to carrying a 2x4.  Alright, that's a little far, but it's just an uncomfortable design to me.  Further inspection and this knife at the very least had some care taken in the build.  There is absolutely perfect blade centering in this particular example.<br /><br />Upon flicking open this massive 3.75&#34; blade, you want to be impressed.  The Trident fires off a little slow, though.  If you've ever held an AEGIS or Flashback you know how some of these SOG assisted openers can snap with real authority.  The Trident isn't one of them.  As for the steel, it's AUS-8, which isn't a super steel by any means but it's adequate in this application.  Extremely sharp out of the box which had sometimes been a problem with SOG in the past.  I'm not thrilled with the blade shape, though, not in my uses.  This is definitely more hiking folder than everyday use.  The pocket clip is a reversible low carry and sufficiently retains tight to the pocket, but I'm not fond of the way the whole thing carries.  Again, a bit too much bulk in the dimensions.  While we're on the handle again, the glass reinforced nylon that this is built from is too slick.  The gimping on top that leads to the blade is also not deep enough or poorly designed which causes thumb slip.  Why it's on the blade is a mystery, as those notches in retaining a firm grip are even less useful than the ones on the handle.  They need to either be deeper or more aggressive.  Probably both as they're too rounded and just cause slip.<br /><br />Another feature is the lock.  I find them redundant and wish SOG offered knife varieties without them, but there it is and I just leave it off.  The Trident is also known for its &#34;rope cutting&#34; notch in the handle.  I didn't try this feature out, but see it as a means to snagging on items and not lending itself a true benefit.  Perhaps I'm wrong on that, though, and I have no field use with that particular feature.<br /><br />I wanted to like the Trident.  It's lightweight, a long blade, and a well-crafted folder.  I just find myself dwelling on all of its shortcomings instead.  I paid a greatly reduced cost on this leading up to Christmas.  It was supposed to be a gift to my cousin.  Even at the reduced cost I think I'm going to send it back.  The whole product just comes across as barely adequate and there's just better folders out there in every category of use.  SOG even makes better carry knives with the Flashback and Aegis lines.  The Trident is just a miss from them in my opinion.  Choose something else, you'll be happy you did.",1,"['many', 'knife', 'carry', 'mostly', 'prefer', 'design', 'material', 'use', 'new', 'however', 'fixed', 'blade', 'value', 'user', 'saw', 'several', 'blade', 'amazon', 'season', 'thought', 'try', 'black', 'box', 'version', 'full', 'item', 'rather', 'come', 'looking', 'manufacturer', 'box', 'care', 'less', 'box', 'non', 'issue', 'issue', 'upon', 'opening', 'trying', 'first', 'time', 'item', 'blade', 'manufacturer', 'whole', 'thing', 'come', 'across', 'kind', 'know', 'older', 'design', 'may', 'time', 'despite', 'lightweight', 'knife', 'come', 'across', 'bulky', 'maybe', 'give', 'blade', 'handle', 'doe', 'fit', 'well', 'hand', 'carrying', 'little', 'far', 'uncomfortable', 'design', 'knife', 'least', 'care', 'taken', 'build', 'absolutely', 'perfect', 'blade', 'upon', 'open', 'blade', 'want', 'impressed', 'fire', 'little', 'though', 'ever', 'held', 'know', 'snap', 'real', 'one', 'steel', 'super', 'steel', 'mean', 'extremely', 'sharp', 'box', 'sometimes', 'problem', 'past', 'blade', 'shape', 'though', 'definitely', 'hiking', 'use', 'pocket', 'clip', 'low', 'carry', 'tight', 'pocket', 'way', 'whole', 'thing', 'carry', 'bit', 'much', 'handle', 'glass', 'built', 'top', 'blade', 'also', 'deep', 'enough', 'designed', 'cause', 'slip', 'blade', 'grip', 'even', 'less', 'useful', 'one', 'handle', 'need', 'either', 'probably', 'cause', 'slip', 'another', 'feature', 'lock', 'find', 'wish', 'knife', 'variety', 'without', 'leave', 'also', 'rope', 'handle', 'try', 'feature', 'see', 'mean', 'item', 'true', 'perhaps', 'wrong', 'though', 'use', 'feature', 'wanted', 'like', 'lightweight', 'long', 'blade', 'well', 'find', 'instead', 'paid', 'cost', 'christmas', 'supposed', 'gift', 'even', 'cost', 'think', 'going', 'back', 'whole', 'product', 'come', 'across', 'barely', 'better', 'every', 'use', 'even', 'make', 'better', 'carry', 'knife', 'line', 'opinion', 'something', 'else', 'happy']"
37,3.0,"A simple piece of equipment, but the angle makes it uncomfortable.","The purpose of push up bars are to give you a full range of motion throughout your exercise.  When doing a bench press, you can bring the bar all the way down to your chest, which is a good range of motion.  Doing a regular push up on the floor, it's not as easy to get that range.  That is unless you have these pushup bars.<br /><br />They are very simple pieces of equipment.  Easy to assemble:  Connect the horizontal legs to the bars and you're done.  They are also easy to use.  Place them farther apart or closer to work on the different parts of the chest.  This is the freedom that separate bars give you as opposed to a push up board with fixed positions.<br /><br />Unfortunately, these bars are not horizontal.  I suppose that it is supposed to make them more ergonomic but I found that it was uncomfortable to bend my wrist at those angles, especially when doing decline/incline push ups or wide push ups.<br /><br />I still use them daily and find them to be acceptable.",1,"['purpose', 'push', 'bar', 'give', 'full', 'range', 'exercise', 'bench', 'press', 'bar', 'way', 'good', 'range', 'regular', 'push', 'floor', 'easy', 'get', 'range', 'unless', 'bar', 'simple', 'piece', 'equipment', 'easy', 'assemble', 'leg', 'bar', 'done', 'also', 'easy', 'use', 'place', 'apart', 'work', 'different', 'part', 'bar', 'give', 'push', 'board', 'fixed', 'position', 'unfortunately', 'bar', 'supposed', 'make', 'found', 'uncomfortable', 'wrist', 'especially', 'push', 'wide', 'push', 'still', 'use', 'daily', 'find']"
38,3.0,Insufficiently Adjustable,"Some reviewers note that these can be adjusted so that glasses are held snugly to the face.  (When I write ""snugly,"" I mean just sufficiently tight so that glasses don't bounce while jogging.)<br /><br />My experience has been the opposite.  The without-a-tail product I received cannot be adjusted to hold my glasses snugly to my face. The Chums with a ""tail"" adjust just fine.",1,"['note', 'glass', 'held', 'face', 'mean', 'tight', 'glass', 'experience', 'without', 'product', 'received', 'hold', 'glass', 'face', 'adjust', 'fine']"
39,5.0,Love these balls,My black lab Mack Truck ran me over to get to these balls. He has never seen such a view in the house. He can't decide what ball he wants in his mouth. I think I will have to take him to therapy. All he has on his mind is tennis balls. They were clean almost new and delivered fast. Next up an order of 100 to pour over my friends yard while they are gone.,0,"['black', 'get', 'ball', 'never', 'seen', 'house', 'ball', 'want', 'mouth', 'think', 'take', 'mind', 'ball', 'clean', 'almost', 'new', 'fast', 'next', 'order', 'friend', 'yard']"
41,3.0,Ok,Ok for the price.,1,['price']
42,4.0,X-body may be limited fit. Effective lights- Ha.. we had driver tell us so..!!!,"A steady or flash option visible by approaching vehicles from both front and rear directions… steady rhythm keeps runner from feeling they’re in an underground rave or disco! After x3 wks of use, nothing dim or losing charge- used x30-60min. each run. LED withstood light rain for a 50min. run without issues during/after! Reflective strips aid if running just before/after dusk or dawn when lights may be harder to detect.<br /><br />Worn X-body + around waist.. belt fit: 5’6”, 115lb. 34B 25yr tiny frame with adjusted fit via the slide mechanism. *Note: feel this will prove a bit cumbersome on larger physiques worn X-body. **If using hydration chest pack belt will need to be on waist (we’re using x1 on longer runs while training for marathon!) All something to keep in mind if bigger or adding any top body paraphernalia or equipment.<br /><br />USB charges solid with included cord- connection holds tight. Charged overnight belt is full/ready to go in AM. May offer a repeat use capacity on a single charge- depending on length of run. Power pack tucks into band without being nuisance or ruckus bc pack isnt heavy!<br /><br />An economical option for sharing road space with vehicles- adjustable with options that can adapt to your specifics. Performs respectable for $16 price point! Hoping info helps decision.. stay safe everyone.<br /><br />*wow endorsement: waiting to cross street on a run- car rolled up to actually give shout out for a having visual to help protect all parties from a terrible accident. Wow! Need we hear more..?!! Mic. drop!",0,"['option', 'front', 'rear', 'direction', 'keep', 'feeling', 'use', 'nothing', 'charge', 'used', 'run', 'light', 'rain', 'run', 'without', 'issue', 'aid', 'running', 'light', 'may', 'worn', 'body', 'around', 'waist', 'belt', 'fit', 'tiny', 'frame', 'fit', 'slide', 'note', 'feel', 'bit', 'larger', 'worn', 'body', 'using', 'pack', 'belt', 'need', 'waist', 'using', 'longer', 'run', 'training', 'something', 'keep', 'mind', 'bigger', 'top', 'body', 'equipment', 'usb', 'charge', 'solid', 'included', 'cord', 'hold', 'tight', 'belt', 'full', 'ready', 'may', 'offer', 'use', 'single', 'charge', 'length', 'run', 'power', 'pack', 'band', 'without', 'pack', 'heavy', 'option', 'road', 'space', 'adjustable', 'option', 'price', 'point', 'hoping', 'info', 'help', 'decision', 'stay', 'safe', 'everyone', 'run', 'car', 'actually', 'give', 'help', 'protect', 'terrible', 'need', 'hear', 'drop']"
43,4.0,Works great as a front brake on my fixed gear,"Needed a new brake cable for my fixed gear emergency front brake and this did the trick.  Was able to easily trim the housing and cable to the length I needed and installed in a flash.  Perhaps it's because the housing length is so short that I'm stressing how flexible the turn to the brake from the lever is but after a few years (granted, years of use) the housing has cracked a bit and no longer seats in the end caps.  Still, it continues to function just fine and my brake lever pulls and releases smoothly.",0,"['needed', 'new', 'brake', 'cable', 'fixed', 'gear', 'emergency', 'front', 'brake', 'able', 'easily', 'cable', 'length', 'needed', 'installed', 'perhaps', 'length', 'short', 'turn', 'brake', 'year', 'year', 'use', 'bit', 'longer', 'seat', 'end', 'cap', 'still', 'function', 'fine', 'brake', 'pull', 'release', 'smoothly']"
44,5.0,Five Stars,Love!!! Lots of room for all my lures & more!,0,"['love', 'lot', 'room']"
45,1.0,Didn't survive the first game,"The first time these darts bounced and hit the floor, the bent.  The second time they broke.  Shafts survived half of one game.  They fly nice, but break easy.",1,"['first', 'time', 'dart', 'hit', 'floor', 'second', 'time', 'broke', 'half', 'one', 'game', 'fly', 'nice', 'break', 'easy']"
